u,v,key,osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,access,junction,tunnel
385027085,413047887,0,35236282,2,,Magill Street,unclassified,50,False,False,23.176,,"LINESTRING (-81.1104392 46.4364545, -81.1102078 46.4363203)",,,
385027085,413247047,0,35236282,2,,Magill Street,unclassified,50,False,True,56.40899999999999,,"LINESTRING (-81.1104392 46.4364545, -81.1105598 46.4364957, -81.1106632 46.4365279, -81.1107786 46.4365686, -81.1109053 46.4366045, -81.1110049 46.4366125, -81.1111247 46.4366001)",,,
385027085,413261402,0,178945515,2,55,Old Highway 17,primary,90,True,False,688.0530000000001,,"LINESTRING (-81.1104392 46.4364545, -81.115338 46.4322887, -81.1161044 46.4316541)",,,
412922680,413025499,0,35254273,2,,Candlewood Court,residential,,False,False,51.761,,"LINESTRING (-81.2064022 46.5748456, -81.2062334 46.5752964)",,,
412923427,413185871,0,35225743,2,,Dora Street,residential,,False,True,112.718,,"LINESTRING (-81.1955315 46.3999517, -81.1940616 46.3999452)",,,
412923427,413117635,0,35248802,2,,Lorraine Street,residential,,False,True,212.161,,"LINESTRING (-81.1955315 46.3999517, -81.1955377 46.3980437)",,,
412923427,413005689,0,35231670,2,,Dora Street,residential,,False,False,212.837,,"LINESTRING (-81.1955315 46.3999517, -81.1971446 46.3999579, -81.1983026 46.4000279)",,,
412924825,413141296,0,35226436,2,,Henry Street,residential,,False,True,53.643,,"LINESTRING (-81.3164709 46.3794855, -81.3171332 46.3793307)",,,
412924825,413087342,0,35244302,2,,Elizabeth Street,residential,,False,False,427.798,,"LINESTRING (-81.3164709 46.3794855, -81.314211 46.3799688, -81.3138216 46.3800868, -81.3137699 46.38015, -81.3137576 46.380267, -81.3139554 46.3807434, -81.3140472 46.3808782, -81.3141774 46.3809048, -81.3143463 46.3808864, -81.3147359 46.3807953, -81.3149439 46.3807767, -81.3151781 46.3808121, -81.315581 46.380766)",,,
412924825,413147185,0,35245784,2,,Elizabeth Street,residential,,False,False,143.86100000000002,,"LINESTRING (-81.3164709 46.3794855, -81.3165505 46.3797643, -81.3167871 46.3802046, -81.3169826 46.3802851, -81.3173724 46.38023, -81.3175152 46.3801846)",,,
412925941,412926635,0,35228921,2,,Poulin Street,residential,,False,False,299.867,,"LINESTRING (-81.1191092 46.550539, -81.1151884 46.5505838)",,,
